a_10a_early;A-10A;9090GE;270000;270.27;6280;6.05;2.26;6;27;country_usa;exp_assault
a_10a_late;A-10A Late;930000SL;340000;714.884574059862;12410;3.09;2.32;7;28;country_usa;exp_assault
douglas_a_1h;A-1H;7480GE;82000;121.77;3545;4.11;1.84;4;16;country_usa;exp_assault
a-20g;A-20G-25;38000SL;11000;4.72761408083442;1048;0.84;1.24;2;6;country_usa;exp_assault
a_20g_30_ussr;A-20G-30 (USSR);1450GE;26000;12.060000000000002;1363;3.42;1.42;3;8;country_ussr;exp_bomber
saab_a21a_3;A21A-3;180000SL;54000;197.19410626111005;6916;2.15;1.66;4;10;country_sweden;exp_fighter
saab_a21rb;A21RB;310000SL;110000;559.7349312377211;12048;2.92;1.96;5;17;country_sweden;exp_fighter
a-26b_10;A-26B-10;170000SL;46000;102.19442715700143;3994;1.53;1.6;4;12;country_usa;exp_assault
a-26b;A-26B-50;180000SL;54000;148.0312134632418;4627;1.71;1.66;4;13;country_usa;exp_assault
a-26c;A-26C-45;180000SL;54000;246.39178467655606;8933;2.17;1.66;4;13;country_usa;exp_bomber
a-26c-45-dt;A-26C-45DT;3850GE;54000;108.27;5085;4.5;1.66;4;13;country_usa;exp_bomber
vampire_fb5_j28b;A28B;370000SL;130000;256.94647851186664;13326;3.76;2.02;5;21;country_sweden;exp_fighter
a_29_hudson;A-29;6300SL;5900;0.7544731610337974;690;0.58;1.06;1;3;country_china;exp_bomber
saab_j29b;A29B;420000SL;150000;872.5173061830523;13432;3.8;2.08;5;21;country_sweden;exp_fighter
a2d;A2D-1;6900GE;95000;148.77;4631;5.2;1.9;4;18;country_usa;exp_assault
saab_a32a;A32A;590000SL;220000;333.87563373718547;12229;3.23;2.2;6;25;country_sweden;exp_assault
a-35b;A-35B (France);55000SL;14000;12.690784982935154;2240;1.51;1.3;2;5;country_france;exp_bomber
p-51_a-36;A-36;22000SL;9200;2.223846153846154;833;0.64;1.18;2;6;country_usa;exp_assault
a_4b;A-4B;500000SL;180000;292.36145833333336;11675;3.31;2.14;6;23;country_usa;exp_assault
a_4e_late_iaf;A-4E (Israel);8910GE;220000;243.27;5949;6.81;2.2;6;23;country_israel;exp_assault
a_4e_early;A-4E Early;500000SL;400000;292.36145833333336;11675;3.31;2.14;6;23;country_usa;exp_assault
a_4e_early_iaf;A-4E Early (M) (Israel);590000SL;220000;318.4303033067275;11916;3.4;2.2;6;23;country_israel;exp_assault
a_4h;A-4H (Israel);500000SL;180000;293.97310799861094;11738;3.17;2.14;6;22;country_israel;exp_assault
a_5c;A-5C;9270GE;340000;283.77;6439;6.23;2.32;6;27;country_china;exp_assault
a5m4;A5M4;700SL;2900;0.44944099378881985;201;0.22;1.0;1;1;country_japan;exp_fighter
a_6e_tram;A-6E TRAM;9270GE;340000;283.77;6439;6.23;2.32;7;27;country_usa;exp_assault
a6m2_zero;A6M2;55000SL;14000;12.625101311084626;2127;1.13;1.3;2;8;country_japan;exp_fighter
a6m2_zero_china;A6M2 (China);1300GE;18000;33.41;3576;3.61;1.36;3;8;country_china;exp_fighter
a6m2_zero_usa;A6M2 (USA);1300GE;18000;60.41;5548;4.41;1.36;3;8;country_usa;exp_fighter
a6m2_mod11;A6M2 mod. 11;38000SL;11000;7.022140274765004;1753;0.95;1.24;2;8;country_japan;exp_fighter
a6m2_n_zero;A6M2-N;10000SL;7900;1.749268965517241;919;0.59;1.12;2;4;country_japan;exp_fighter
a6m3_zero;A6M3;77000SL;18000;21.219357798165138;2487;1.3;1.36;3;9;country_japan;exp_fighter
a6m3_mod22_zero;A6M3 mod. 22;110000SL;26000;33.7181460428509;2899;1.45;1.42;3;10;country_japan;exp_fighter
a6m3_mod22ko_zero;A6M3 mod. 22Ko;140000SL;33000;46.07420600858369;3543;1.6;1.48;3;12;country_japan;exp_fighter
a6m5_zero;A6M5;140000SL;33000;46.07420600858369;3543;1.6;1.48;3;12;country_japan;exp_fighter
a6m5hei;A6M5 Hei;150000SL;40000;92.18774723717767;4496;1.77;1.54;3;12;country_japan;exp_fighter
a6m5ko;A6M5 Ko;3850GE;54000;94.77;4645;4.5;1.66;4;12;country_japan;exp_fighter
a6m5otsu;A6M5 otsu;150000SL;40000;93.02252559726963;4520;1.76;1.54;3;13;country_japan;exp_fighter
a6m6c;A6M6c;1750GE;40000;37.11;2217;3.55;1.54;3;12;country_japan;exp_fighter
a_7d;A-7D;1060000SL;390000;397.7520183086312;12657;3.17;2.38;7;28;country_usa;exp_assault
a_7e;A-7E;1080000SL;400000;422.5760079443893;12501;3.2;2.44;7;29;country_usa;exp_assault
a7he1;A7He1;550GE;5900;0.42;335;0.89;1.06;1;3;country_japan;exp_fighter
a_7k;A-7K;craft_2023_springLT;400000;418.5067991220978;11826;3.26;2.44;7;30;country_usa;exp_assault
a7m1;A7M1 (NK9H);2190GE;33000;67.77;5036;4.33;1.48;3;12;country_japan;exp_fighter
a7m2;A7M2;150000SL;40000;92.18354002254792;4520;1.76;1.54;3;13;country_japan;exp_fighter
douglas_ad_2;AD-2;210000SL;71000;203.975486935867;5818;1.9;1.78;4;14;country_usa;exp_assault
douglas_ad_4;AD-4;240000SL;82000;249.18292655152783;6619;1.99;1.84;4;15;country_usa;exp_assault
douglas_ad_4_france;AD-4 (France);200000SL;63000;181.3437475345168;5732;1.86;1.72;4;15;country_france;exp_assault
douglas_ad_4na_france;AD-4NA (France);6090GE;71000;108.27;2996;3.84;1.78;4;15;country_france;exp_assault
saab_aj37;AJ37;930000SL;340000;363.90104121475053;12410;3.09;2.32;7;28;country_sweden;exp_assault
